Time,Latitude,Longitude,counts,PM1,PM25,PM10,Temperature,Humidity,Pressure,Altitude,VOC
1712789877.57,0,0,53.8,4.6,8.0,10.0,22.232304687499997,47.532708992970676,1007.8531657194304,45.02953689155813,255928.0
1712789882.51,0,0,50.8,4.6,8.0,10.0,22.2607421875,47.28524636843723,1007.8503723086203,45.052894845187744,270088.4
1712789887.54,0,0,54.2,4.8,8.0,9.8,22.270546875,47.161114368499504,1007.8384254009285,45.15279273339787,279596.6
1712789892.51,0,0,47.0,4.8,8.0,9.8,22.279453125,47.12125829361655,1007.8421513791097,45.121636638109685,286200.4
1712789897.55,0,0,57.2,4.4,8.0,9.0,22.2904296875,47.13373197047647,1007.8355696458505,45.176672184380536,291300.0
1712789902.5,0,0,57.2,4.4,8.0,9.0,22.289609375,47.08775988326943,1007.8335288458366,45.19373707162701,295726.6
1712789907.57,0,0,49.8,4.2,7.2,9.2,22.28453125,47.04005068766129,1007.835095021744,45.18064089788034,298933.6
1712789912.52,0,0,51.6,4.2,7.2,9.2,22.2739453125,47.0412639383067,1007.8351154456634,45.180470136693266,301165.8
1712789917.54,0,0,50.2,4.2,8.0,10.0,22.2595703125,47.06805194905976,1007.8275060062169,45.24409957189792,302320.0
1712789922.51,0,0,56.6,4.2,8.0,10.0,22.2375,47.092683138184654,1007.832923040761,45.198802853092225,303965.2
1712789927.55,0,0,53.4,4.0,8.0,10.0,22.215078124999998,47.112315767674204,1007.8377570514419,45.158381320334136,305683.0
1712789932.52,0,0,47.2,4.0,8.0,10.0,22.1874609375,47.14124776698863,1007.8346950642162,45.18398531856102,306220.8
1712789937.54,0,0,52.4,5.0,8.0,9.0,22.16921875,47.17998582726168,1007.8292719477422,45.229332870183065,307692.0
1712789942.52,0,0,45.6,5.0,8.0,9.0,22.149296874999997,47.22101018432958,1007.8279351820141,45.240510816506614,308510.8
1712789947.54,0,0,51.4,5.0,8.6,9.6,22.125507812499997,47.267782719750635,1007.8277574047186,45.24199739207105,310224.6
1712789952.53,0,0,51.4,5.0,8.6,9.6,22.104375,47.31860713034435,1007.8203004267267,45.30435234305337,313308.8
1712789957.55,0,0,49.8,5.0,9.2,9.6,22.083828125,47.37820378656624,1007.8244437943891,45.26970582593198,313764.2
1712789962.52,0,0,51.6,5.0,9.2,9.6,22.072148437499997,47.433916205590016,1007.8147588169089,45.350691281132654,314616.8
1712789967.55,0,0,48.0,6.0,9.4,9.4,22.064140625,47.48014781055075,1007.8276033689899,45.2432854867847,313252.8
1712789972.52,0,0,56.0,6.0,9.4,9.4,22.060390624999997,47.49584529720052,1007.8292993956045,45.22910340052867,313535.4
1712789977.51,0,0,48.2,6.0,9.4,9.4,22.05515625,47.502669497715786,1007.8230552471498,45.28131664253277,313313.0
1712789982.54,0,0,53.6,6.0,10.0,10.0,22.045390625,47.51516070166334,1007.8052108326931,45.430532082548126,313765.2
1712789987.52,0,0,49.6,6.0,10.0,10.0,22.033632812500002,47.53611016117621,1007.8108311919079,45.38353426128824,312015.4
1712789992.54,0,0,45.2,6.0,9.4,10.0,22.02140625,47.5719173631972,1007.8173915998493,45.32867603734228,312463.4
1712789997.51,0,0,45.2,6.0,9.4,10.0,22.0044140625,47.620829181137175,1007.8153934641996,45.34538434337358,313254.0
1712790002.61,0,0,47.6,6.0,9.0,9.6,21.985234375000005,47.67073328527608,1007.8087520791139,45.40091989858435,314964.4
1712790007.52,0,0,43.8,6.0,9.0,9.6,21.973710937499998,47.715353478942575,1007.8099541203628,45.39086833572772,313310.8
1712790012.54,0,0,52.0,6.0,8.4,9.4,21.960234375,47.73984674704858,1007.803470713754,45.44508311833938,313938.0
1712790017.48,0,0,51.4,6.0,8.4,9.4,21.960234375,47.73984674704858,1007.803470713754,45.44508311833938,313938.0
1712790022.55,0,0,48.8,6.0,8.4,10.4,21.945859374999998,47.776674607022656,1007.8061346403281,45.42280710507815,314617.2
1712790027.52,0,0,50.0,6.0,8.4,10.4,21.9312890625,47.80353095707194,1007.8050453717926,45.43191567946187,314448.2
1712790032.54,0,0,46.0,5.6,7.6,9.0,21.92265625,47.84479685174726,1007.8017598160162,45.45938977220004,315192.6
1712790037.51,0,0,54.2,5.6,7.6,9.0,21.916445312500002,47.88138508492997,1007.7949297382813,45.51650379751367,317212.6
1712790042.56,0,0,46.0,4.8,6.8,8.8,21.907343750000003,47.913895624146186,1007.8049302620573,45.432878241709304,317209.4
1712790047.5,0,0,46.0,4.8,6.8,8.8,21.894101562499998,47.937194998136185,1007.8026030833064,45.45233830280667,317091.6
1712790052.6,0,0,52.6,4.4,7.0,8.4,21.8784765625,47.98262490467852,1007.7949673521887,45.51618928086831,318378.6
1712790057.52,0,0,46.0,4.4,7.0,8.4,21.868398437499998,48.03994796506473,1007.7927218529836,45.534966476271784,318727.2
1712790062.54,0,0,43.6,5.0,8.0,10.0,21.869375,48.077442763819406,1007.7915916847305,45.54441715759785,317675.8
1712790067.51,0,0,47.6,5.0,8.0,10.0,21.869453125,48.0924055565137,1007.7889773396897,45.56627881330361,317034.4
1712790072.55,0,0,46.6,5.0,8.8,11.4,21.865234375,48.09438650246419,1007.7943534425247,45.52132289615021,318316.2
1712790077.52,0,0,41.8,5.0,8.8,11.4,21.8576171875,48.10592539065182,1007.7944582204906,45.5204467642692,318376.2
1712790082.54,0,0,47.4,4.4,8.4,11.0,21.8491796875,48.13107559995518,1007.7856634489499,45.59399021667729,318554.2
1712790087.52,0,0,47.6,4.4,8.4,11.0,21.84125,48.156290009544655,1007.7869660604272,45.5830975688738,319967.8
1712790092.55,0,0,49.4,4.4,8.6,11.0,21.8325,48.175174535467086,1007.7879419298515,45.57493715468356,319493.0
1712790097.5,0,0,49.4,4.4,8.6,11.0,21.824453124999998,48.19040589127507,1007.791107723437,45.54846412519474,319195.8
1712790102.55,0,0,52.4,5.0,8.8,11.0,21.826132812500003,48.396470144646266,1007.787367466698,45.57974085869081,318962.4
